"Day_0" "Day_2" "Day_17"
"TRINITY_DN21500_c0_g1_i1" 0 0 0
"TRINITY_DN21526_c0_g1_i1" 0.288366 0 0
"TRINITY_DN21526_c0_g2_i1" 0 0 0
"TRINITY_DN21506_c0_g1_i1" 0 0 0
"TRINITY_DN21470_c0_g1_i1" 45.8759 20.6188 0.119149
"TRINITY_DN21470_c1_g1_i1" 15.4661 8.01518 0
"TRINITY_DN21470_c6_g1_i1" 8.83073 3.78582 0
"TRINITY_DN21470_c5_g1_i1" 4.66006 1.33976 0
"TRINITY_DN21470_c7_g1_i1" 6.45778 2.68202 0
"TRINITY_DN21470_c4_g1_i1" 9.48174 5.39755 0
"TRINITY_DN21458_c0_g1_i1" 0 0 0
"TRINITY_DN21458_c1_g1_i1" 0 0 0
"TRINITY_DN21472_c2_g1_i1" 0 0 0
"TRINITY_DN21472_c0_g1_i1" 0.306888 0.683814 0
"TRINITY_DN21456_c2_g1_i1" 0.915443 0.400466 0
"TRINITY_DN21456_c0_g1_i1" 0.553925 1.86654 0
"TRINITY_DN21497_c1_g1_i1" 0 0 0
"TRINITY_DN21504_c1_g1_i1" 1.99177 6.50465 2.4084
"TRINITY_DN21475_c1_g1_i1" 0 0 0
"TRINITY_DN5656_c0_g1_i1" 0 0 0
"TRINITY_DN5656_c0_g1_i2" 0 0 0
"TRINITY_DN5656_c0_g1_i3" 69.5183 104.04 65.4865
"TRINITY_DN5625_c0_g1_i1" 1.12358 0 0
"TRINITY_DN5625_c0_g1_i2" 0 0 0
"TRINITY_DN5625_c0_g1_i3" 0.434084 0 0
"TRINITY_DN5625_c0_g1_i4" 0 1.27629 0
"TRINITY_DN5625_c0_g2_i1" 0 0 0
"TRINITY_DN5625_c0_g2_i2" 1.06668 1.73299 0
"TRINITY_DN5625_c0_g2_i3" 0.177952 0.251115 0
"TRINITY_DN5625_c0_g2_i4" 0.177952 0 0
"TRINITY_DN5625_c2_g1_i1" 0 0 0
"TRINITY_DN5655_c0_g1_i1" 0.150225 0.204333 0
"TRINITY_DN5655_c0_g1_i2" 0 0 0
"TRINITY_DN5680_c0_g1_i1" 10.5426 10.6331 0
"TRINITY_DN5627_c0_g1_i1" 0 0 0
"TRINITY_DN5636_c1_g1_i1" 0 0 0
"TRINITY_DN5636_c0_g1_i1" 0 0 0
"TRINITY_DN5636_c0_g1_i11" 0 0 0
"TRINITY_DN5636_c0_g1_i2" 0 0.126228 0
"TRINITY_DN5636_c0_g1_i3" 0 0 0
"TRINITY_DN5636_c0_g1_i4" 0 0 0
"TRINITY_DN5636_c0_g1_i5" 0 0 0
"TRINITY_DN5636_c0_g1_i6" 0 0 0
"TRINITY_DN5636_c0_g1_i9" 0 0 0
"TRINITY_DN5653_c0_g3_i1" 0.338409 0 0
"TRINITY_DN5653_c0_g1_i1" 1.15115 3.24052 1.90422
"TRINITY_DN5653_c1_g1_i1" 0.927905 2.57319 2.65367
"TRINITY_DN5653_c0_g4_i1" 2.54482 4.20066 4.20283
"TRINITY_DN5653_c0_g2_i1" 0 0 5.58826e-06
"TRINITY_DN5653_c0_g2_i2" 2.71073 3.21318 0
"TRINITY_DN5653_c0_g2_i3" 13.8018 7.56652 5.49943
"TRINITY_DN5633_c0_g3_i1" 0 0 0
"TRINITY_DN5633_c0_g3_i2" 0 0 2.00854
"TRINITY_DN5633_c0_g3_i3" 0.131984 0.905532 0
"TRINITY_DN5633_c0_g1_i1" 14.0543 18.2593 0
"TRINITY_DN5633_c0_g1_i2" 4.72893 7.35432 3.13797
"TRINITY_DN5633_c0_g2_i1" 0 0 0
"TRINITY_DN5633_c0_g2_i2" 0 1.32114 0
"TRINITY_DN5633_c0_g2_i3" 0 0 0
"TRINITY_DN5693_c0_g1_i2" 0 0 0
"TRINITY_DN5693_c0_g1_i3" 0 0 0
"TRINITY_DN5693_c0_g1_i4" 0 0 0
"TRINITY_DN5603_c0_g1_i1" 2.61861 2.10462 0
"TRINITY_DN5610_c0_g1_i1" 0 0 0
"TRINITY_DN5610_c0_g1_i2" 0 0 0
"TRINITY_DN5610_c0_g1_i5" 0 0.0315072 0
"TRINITY_DN5610_c0_g1_i6" 0 0.0315072 0
"TRINITY_DN5610_c0_g1_i7" 0 0 0
"TRINITY_DN5661_c0_g1_i1" 0 0.436632 0.0695948
"TRINITY_DN5661_c0_g1_i3" 0 3.12331e-08 0
"TRINITY_DN5661_c0_g1_i4" 0 0 1.52842
"TRINITY_DN5661_c0_g1_i5" 0 0.209652 0
"TRINITY_DN5661_c0_g1_i6" 0 0 0.135965
"TRINITY_DN5661_c0_g1_i7" 0 0.380904 0
"TRINITY_DN5661_c0_g1_i8" 0 0 1.49335
"TRINITY_DN5661_c0_g2_i1" 0 0 0.0752631
"TRINITY_DN5661_c0_g4_i1" 0 0 0
"TRINITY_DN5661_c0_g4_i2" 0 0 0.152776
"TRINITY_DN5661_c0_g4_i3" 0 0.857968 17.5141
"TRINITY_DN5661_c0_g4_i4" 0 0 0
"TRINITY_DN5661_c0_g4_i5" 0 0 0
"TRINITY_DN5607_c0_g1_i1" 0.756546 1.24698 0
"TRINITY_DN5630_c0_g1_i1" 0 0 0
"TRINITY_DN5630_c0_g1_i2" 0 0 0
"TRINITY_DN5630_c0_g1_i3" 0.10399 0 0
"TRINITY_DN5630_c0_g1_i4" 0.0741117 0 0
"TRINITY_DN5664_c0_g1_i1" 3.88829 7.93075 0
"TRINITY_DN5668_c0_g1_i1" 0 0 0
"TRINITY_DN5668_c0_g1_i2" 0 0 0
"TRINITY_DN5613_c0_g2_i1" 0 0 0
"TRINITY_DN5613_c0_g1_i1" 0.120074 0 0
"TRINITY_DN5613_c0_g1_i2" 0 0 0
"TRINITY_DN5613_c0_g1_i3" 0 0 0
"TRINITY_DN5613_c0_g1_i4" 0 0 0
"TRINITY_DN5613_c0_g1_i5" 0 0 0
"TRINITY_DN5644_c0_g1_i1" 2.52737 3.11716 0
"TRINITY_DN5614_c0_g1_i1" 3.68256 8.68234 0
"TRINITY_DN5651_c0_g1_i1" 0.187067 14.5791 0
"TRINITY_DN5651_c0_g1_i2" 0 0 2.58334
"TRINITY_DN5651_c0_g1_i3" 0 0 2.58334
"TRINITY_DN5669_c0_g1_i1" 6.35815 7.94798 0
"TRINITY_DN5673_c0_g1_i1" 0 0.523447 0
"TRINITY_DN5673_c0_g1_i2" 0 0.26359 0
"TRINITY_DN5692_c0_g1_i1" 0 0.225472 0
"TRINITY_DN5692_c0_g1_i2" 24.569 25.403 0.0720481
"TRINITY_DN5612_c0_g1_i1" 4.36532 2.91669 0
"TRINITY_DN5620_c0_g1_i1" 2.2315 3.93182 0
"TRINITY_DN5654_c0_g1_i1" 1.1085 1.37491 0
"TRINITY_DN5654_c0_g1_i10" 0 1.46597 0
"TRINITY_DN5654_c0_g1_i12" 0.855112 0 0
"TRINITY_DN5654_c0_g1_i13" 0 0.820805 0
"TRINITY_DN5654_c0_g1_i2" 1.22099 0 0
"TRINITY_DN5654_c0_g1_i3" 0.323992 0 0
"TRINITY_DN5654_c0_g1_i5" 0.0425196 0 0
"TRINITY_DN5654_c0_g1_i6" 0 1.50494 0
"TRINITY_DN5654_c0_g1_i7" 8.59189 19.7162 0
"TRINITY_DN5654_c0_g1_i8" 0 0 0
"TRINITY_DN5654_c2_g1_i1" 0 0 0
"TRINITY_DN5654_c0_g2_i1" 0.173783 1.04778 0
"TRINITY_DN5665_c0_g1_i2" 0.856158 3.10518 0
"TRINITY_DN5665_c0_g1_i3" 0 0 2.89385
"TRINITY_DN5665_c0_g1_i4" 0 0 0
"TRINITY_DN5665_c0_g1_i5" 0 0 0
"TRINITY_DN5665_c0_g1_i6" 0 0 0
"TRINITY_DN5665_c0_g1_i7" 0 0 0
"TRINITY_DN5608_c0_g1_i1" 39.0864 66.1356 0.0389941
"TRINITY_DN5697_c1_g2_i1" 11.9056 4.02746 0
"TRINITY_DN5697_c1_g2_i2" 0 0 0
"TRINITY_DN5697_c1_g1_i1" 0 0 0
"TRINITY_DN5697_c1_g1_i2" 0 0.205267 0
"TRINITY_DN5697_c1_g1_i3" 0 0.737497 0
"TRINITY_DN5697_c1_g1_i4" 0.285255 0 0
"TRINITY_DN5697_c1_g3_i1" 0 0.818539 0
"TRINITY_DN5621_c0_g1_i1" 9.10846 6.83641 0
"TRINITY_DN5600_c0_g1_i1" 2.33899 3.87393 0
"TRINITY_DN5670_c0_g1_i1" 0 0 0
"TRINITY_DN5670_c0_g1_i2" 0 0 0
"TRINITY_DN5643_c0_g1_i1" 0.675096 0.345901 0
"TRINITY_DN5643_c0_g1_i2" 0 0 0
"TRINITY_DN5672_c0_g1_i1" 0 0 0
"TRINITY_DN5672_c0_g1_i2" 0 0 1.17427e-05
"TRINITY_DN5672_c0_g1_i3" 0.678557 0 0
"TRINITY_DN5672_c0_g1_i4" 0 0.271322 0
"TRINITY_DN5672_c0_g1_i5" 0.780042 0.472817 1.5448
"TRINITY_DN5672_c0_g1_i6" 0.20089 0 0
"TRINITY_DN5672_c0_g1_i7" 0 0 0
"TRINITY_DN5672_c1_g1_i1" 0 0 0
"TRINITY_DN5695_c0_g2_i1" 6.47149 11.6613 1.39851
"TRINITY_DN5695_c0_g1_i1" 4.02703 4.84268 0
"TRINITY_DN5695_c0_g1_i2" 0 0 0
"TRINITY_DN5695_c3_g1_i1" 0.862267 3.44865 3.98074
"TRINITY_DN5695_c1_g1_i1" 3.47907 13.729 2.66248
"TRINITY_DN5695_c0_g3_i1" 21.7492 44.0393 0
"TRINITY_DN5647_c0_g1_i1" 1.77959 2.37673 0
"TRINITY_DN5690_c0_g1_i11" 0.231378 0.426086 0
"TRINITY_DN5690_c0_g1_i12" 0 0.441803 0
"TRINITY_DN5690_c0_g1_i13" 0 0 0.416012
"TRINITY_DN5690_c0_g1_i14" 0 0 0.0227988
"TRINITY_DN5690_c0_g1_i2" 0 0 0
"TRINITY_DN5690_c0_g1_i3" 0 0 0
"TRINITY_DN5690_c0_g1_i4" 0 0.192903 0
"TRINITY_DN5690_c0_g1_i6" 0 0 0
"TRINITY_DN5690_c0_g1_i8" 0 0 0
"TRINITY_DN5690_c0_g1_i9" 0 0 0
"TRINITY_DN5650_c0_g1_i1" 0.0939061 0.204324 0
"TRINITY_DN5650_c0_g1_i11" 0.587294 1.91122 0
"TRINITY_DN5650_c0_g1_i14" 2.86623 6.71022 0
"TRINITY_DN5650_c0_g1_i18" 0 0 0
"TRINITY_DN5650_c0_g1_i21" 0 0.0933409 0
"TRINITY_DN5650_c0_g1_i8" 2.86623 6.71022 0
"TRINITY_DN5650_c0_g2_i10" 0 0.822562 0
"TRINITY_DN5650_c0_g2_i2" 0 0 0
"TRINITY_DN5650_c0_g2_i5" 0 0 0
"TRINITY_DN5650_c0_g2_i6" 0.0719853 0 0
"TRINITY_DN5650_c0_g2_i8" 0.437133 0.151061 0
"TRINITY_DN5650_c0_g2_i9" 0.172279 0 0
"TRINITY_DN5685_c0_g1_i1" 0 1.74077 0
"TRINITY_DN5634_c0_g1_i1" 68.3593 66.8113 0.0130676
"TRINITY_DN5649_c0_g1_i10" 0 0.873163 0
"TRINITY_DN5649_c0_g1_i12" 0.45429 1.09359 0
"TRINITY_DN5649_c0_g1_i14" 0.212755 1.34034 0.311399
"TRINITY_DN5649_c0_g1_i18" 0 0 0
"TRINITY_DN5649_c0_g1_i21" 40.5045 50.5944 3.23363
"TRINITY_DN5649_c0_g1_i22" 0 0.0495564 0
"TRINITY_DN5649_c0_g1_i23" 1.1462 3.68351 4.25764
"TRINITY_DN5649_c0_g1_i25" 0 0.170243 0
"TRINITY_DN5649_c0_g1_i26" 1.1462 3.68351 4.25764
"TRINITY_DN5649_c0_g1_i27" 0 0.0495564 0
"TRINITY_DN5649_c0_g1_i29" 0 0 0
"TRINITY_DN5649_c0_g1_i6" 0.705802 0.781143 0
"TRINITY_DN5649_c0_g1_i7" 0 0 0
"TRINITY_DN5604_c0_g1_i1" 0.244938 0 0
"TRINITY_DN5604_c0_g1_i2" 0 0.151031 0
"TRINITY_DN5617_c0_g1_i1" 17.0811 39.7202 0.0798493
"TRINITY_DN5618_c0_g1_i1" 0.1196 0 4.9327
"TRINITY_DN5645_c0_g1_i1" 0 0 0
"TRINITY_DN5645_c0_g1_i2" 0 0 0
"TRINITY_DN5645_c0_g1_i3" 0 0.320288 0
"TRINITY_DN5679_c0_g1_i1" 0.10419 0.22654 0
"TRINITY_DN5679_c0_g2_i1" 0.482931 0.94561 0.213154
"TRINITY_DN5648_c0_g1_i1" 0 0 0
"TRINITY_DN5677_c0_g1_i2" 0 1.12966 0
"TRINITY_DN5677_c0_g1_i3" 214.994 25.6178 4.59891
"TRINITY_DN5677_c0_g1_i4" 0 1.12966 0
"TRINITY_DN5677_c0_g1_i6" 0 0 0
"TRINITY_DN5677_c0_g1_i7" 0 0 0
"TRINITY_DN5677_c0_g2_i3" 0 0 0
"TRINITY_DN5677_c0_g2_i4" 0 0 0
"TRINITY_DN5677_c0_g2_i5" 0 0 0
"TRINITY_DN5677_c0_g2_i6" 0 0 0
"TRINITY_DN5677_c0_g2_i7" 0 0 0
"TRINITY_DN5677_c0_g2_i8" 0 0.297876 0
"TRINITY_DN5641_c0_g1_i1" 0 0.121972 0
"TRINITY_DN5632_c0_g2_i1" 0 0 0
"TRINITY_DN5632_c0_g1_i1" 0 0 0
"TRINITY_DN5632_c0_g1_i10" 0 0 0
"TRINITY_DN5632_c0_g1_i11" 0 0 0
"TRINITY_DN5632_c0_g1_i12" 0 0 0
"TRINITY_DN5632_c0_g1_i13" 0 0 0
"TRINITY_DN5632_c0_g1_i14" 3.68292 1.81256 0
"TRINITY_DN5632_c0_g1_i15" 0 0 0
"TRINITY_DN5632_c0_g1_i2" 0 0.225766 0
"TRINITY_DN5632_c0_g1_i3" 0 0.497447 0
"TRINITY_DN5632_c0_g1_i5" 0 0 0
"TRINITY_DN5632_c0_g1_i6" 0 0.393103 0
"TRINITY_DN5632_c0_g1_i8" 0.345946 0.245949 0
"TRINITY_DN5632_c0_g1_i9" 0 0 0
"TRINITY_DN5696_c0_g1_i1" 3.38744 6.66066 0
"TRINITY_DN5696_c0_g1_i2" 3.38744 5.32853 0
"TRINITY_DN5640_c0_g1_i1" 0 0.179852 0
"TRINITY_DN5640_c0_g1_i2" 0 0.30351 0
"TRINITY_DN5640_c0_g1_i4" 0 0 0
"TRINITY_DN5640_c0_g1_i5" 0.497209 0 0
"TRINITY_DN5640_c0_g1_i7" 0 0 0
"TRINITY_DN5624_c0_g1_i1" 8.26697 13.3461 0.0401239
"TRINITY_DN5660_c2_g2_i1" 3.86093 3.67266 1.72978
"TRINITY_DN5660_c1_g2_i1" 2.14969 1.00973 0
"TRINITY_DN5660_c1_g1_i1" 0 2.14996 2.20603
"TRINITY_DN5660_c1_g1_i2" 8.19218 10.4878 0
"TRINITY_DN5660_c2_g1_i1" 8.01497 13.3134 0.415407
"TRINITY_DN5660_c2_g1_i2" 2.3306 7.79416 0
"TRINITY_DN5657_c0_g1_i1" 0.301165 0.655381 0
"TRINITY_DN5671_c0_g1_i1" 0.175747 2.00268 0
"TRINITY_DN5671_c0_g1_i11" 0 0.171917 0
"TRINITY_DN5671_c0_g1_i12" 0.326693 3.35376 0.0882941
"TRINITY_DN5671_c0_g1_i14" 0 1.10817 4.89283
"TRINITY_DN5671_c0_g1_i16" 0.0305051 0 0
"TRINITY_DN5671_c0_g1_i17" 0 0 0
"TRINITY_DN5671_c0_g1_i18" 0 0.523745 0
"TRINITY_DN5671_c0_g1_i19" 0 0 0
"TRINITY_DN5671_c0_g1_i2" 0 1.63045 0
"TRINITY_DN5671_c0_g1_i20" 0 0 2.34229
"TRINITY_DN5671_c0_g1_i4" 0 0 0
"TRINITY_DN5671_c0_g1_i5" 0 3.43415 0
"TRINITY_DN5671_c0_g1_i6" 0 0 0
"TRINITY_DN5671_c0_g1_i8" 0.21079 2.14517 3.6624
"TRINITY_DN5671_c0_g1_i9" 0.794779 0.556073 0
"TRINITY_DN5619_c0_g1_i1" 0 0 0
"TRINITY_DN5601_c0_g1_i1" 0 0.00646467 0
"TRINITY_DN5601_c0_g1_i2" 0 0.0801541 0
"TRINITY_DN5683_c0_g1_i1" 22.4402 13.9777 0
"TRINITY_DN5682_c0_g1_i1" 1.32396 0.623489 0
"TRINITY_DN5646_c0_g1_i1" 1.42183 1.65904 0
"TRINITY_DN5646_c0_g1_i2" 0 0 0
"TRINITY_DN5646_c0_g1_i3" 0 0 0
"TRINITY_DN5646_c1_g1_i1" 2.36737 5.26365 0
"TRINITY_DN5658_c0_g1_i1" 0 0 0
"TRINITY_DN5658_c1_g1_i1" 0 0 0
"TRINITY_DN5658_c1_g1_i2" 0.606231 7.44174 4.42674
"TRINITY_DN5678_c5_g1_i1" 0 0 0
"TRINITY_DN5678_c1_g1_i1" 0 0.20887 0
"TRINITY_DN5678_c1_g1_i2" 0 0 0
"TRINITY_DN5678_c1_g1_i3" 0 0 0
"TRINITY_DN5678_c1_g1_i4" 0 0 0
"TRINITY_DN5678_c3_g1_i1" 0 0 0
"TRINITY_DN5642_c0_g1_i1" 0 0.859723 10.0198
"TRINITY_DN5642_c0_g1_i2" 0.42529 0 0.165537
"TRINITY_DN5642_c0_g1_i3" 0 0.753436 2.47277
"TRINITY_DN5642_c0_g1_i4" 0 0 0.125252
"TRINITY_DN5606_c0_g1_i1" 0.438638 0 0
"TRINITY_DN5663_c0_g5_i1" 0 0 5.10465
"TRINITY_DN5663_c0_g4_i1" 0 0 0
"TRINITY_DN5663_c0_g6_i1" 0 0 0.737127
"TRINITY_DN5663_c0_g1_i1" 0 0 2.98921
"TRINITY_DN5663_c0_g1_i2" 0 0 3.01002
"TRINITY_DN5663_c0_g1_i3" 0.247276 0 1.74444
"TRINITY_DN5663_c0_g3_i1" 0 0 1.2773
"TRINITY_DN5663_c0_g2_i1" 0.0533734 0 4.28901
"TRINITY_DN5638_c1_g2_i1" 26.7798 31.5991 0
"TRINITY_DN5638_c1_g2_i2" 0 0 0.150121
"TRINITY_DN5638_c1_g1_i1" 0.738803 0.237614 0
"TRINITY_DN5638_c1_g1_i10" 0 0 0
"TRINITY_DN5638_c1_g1_i11" 0.749863 0.507075 0
"TRINITY_DN5638_c1_g1_i13" 0 0 0
"TRINITY_DN5638_c1_g1_i2" 1.38199 3.86863 0
"TRINITY_DN5638_c1_g1_i5" 1.12261 0.509814 0
"TRINITY_DN5638_c1_g1_i6" 0 0 0
"TRINITY_DN5638_c1_g1_i9" 4.06913 3.70721 0
"TRINITY_DN5662_c0_g1_i2" 0 0 0
"TRINITY_DN5662_c0_g1_i3" 0 0 0
"TRINITY_DN5662_c0_g1_i4" 0.515948 0.855661 4.82584
"TRINITY_DN5662_c0_g1_i5" 0 0 0
"TRINITY_DN5662_c0_g1_i6" 0 0 0
"TRINITY_DN5681_c0_g1_i1" 0.72966 2.74729 0
"TRINITY_DN5659_c0_g1_i1" 3.14056 8.99211 0
"TRINITY_DN5659_c0_g1_i2" 0 0.408732 0
"TRINITY_DN5622_c0_g1_i1" 11.2304 8.46218 0
"TRINITY_DN5652_c0_g1_i1" 0.91292 1.10255 0
"TRINITY_DN5698_c0_g1_i1" 0 0 0
"TRINITY_DN5698_c0_g1_i10" 0.357285 0.577742 0
"TRINITY_DN5698_c0_g1_i12" 0 0.215412 0
"TRINITY_DN5698_c0_g1_i13" 0.412582 0.804958 0
"TRINITY_DN5698_c0_g1_i2" 0.249935 0 0
"TRINITY_DN5698_c0_g1_i3" 0 0.550579 0
"TRINITY_DN5698_c0_g1_i4" 0 0 0
"TRINITY_DN5698_c0_g1_i6" 0.465447 0.897422 0
"TRINITY_DN5698_c0_g1_i8" 0 0 0
"TRINITY_DN5698_c0_g1_i9" 0.622233 0 0
"TRINITY_DN5698_c1_g1_i1" 0 0 0
"TRINITY_DN5637_c0_g1_i1" 0.798078 2.33997 0
"TRINITY_DN5687_c0_g1_i1" 0 0 0
"TRINITY_DN5687_c0_g1_i12" 0 0 0
"TRINITY_DN5687_c0_g1_i13" 0 0 0
"TRINITY_DN5687_c0_g1_i14" 0 0 0
"TRINITY_DN5687_c0_g1_i2" 0 0 0
"TRINITY_DN5687_c0_g1_i3" 0 0 0
"TRINITY_DN5687_c0_g1_i4" 0 0 0
"TRINITY_DN5687_c0_g1_i5" 0 0 0
"TRINITY_DN5687_c0_g1_i6" 0 0 0
"TRINITY_DN5687_c0_g1_i8" 0 0.306213 0
"TRINITY_DN5687_c0_g1_i9" 0 0 0
"TRINITY_DN5616_c0_g1_i1" 0.310654 6.33298 1.98461
"TRINITY_DN5616_c0_g1_i5" 0.228896 1.90052 0.483561
"TRINITY_DN5616_c0_g1_i7" 0.228896 1.90052 0.483561
"TRINITY_DN5684_c0_g1_i1" 0 0.332528 0
"TRINITY_DN5684_c0_g1_i3" 0.257 0.232033 0
"TRINITY_DN5684_c0_g2_i1" 4.19922 2.01449 0
"TRINITY_DN5684_c0_g2_i2" 0 0.283399 0
"TRINITY_DN5674_c3_g1_i1" 0 0 0
"TRINITY_DN5674_c0_g1_i1" 0 0.150367 1.37651
"TRINITY_DN5674_c0_g1_i2" 0 0 0
"TRINITY_DN5674_c0_g2_i1" 0 0 0
"TRINITY_DN5674_c1_g1_i1" 0.152308 0 0
"TRINITY_DN5667_c0_g1_i1" 0 0.923112 0
"TRINITY_DN5667_c0_g1_i2" 0 0 0
"TRINITY_DN5699_c0_g1_i2" 0 0 0
"TRINITY_DN5699_c0_g1_i3" 0.28746 3.78851 0
"TRINITY_DN5699_c0_g1_i5" 0 2.82112 0.318546
"TRINITY_DN5699_c0_g1_i6" 0 0 0
"TRINITY_DN5635_c0_g1_i1" 132.345 202.331 0.0596793
"TRINITY_DN5686_c0_g1_i1" 0 0 1.27651
"TRINITY_DN5688_c0_g1_i1" 0 0 0
"TRINITY_DN5688_c0_g2_i1" 0 0 0
"TRINITY_DN5611_c0_g1_i1" 1.107 1.92533 0
"TRINITY_DN5611_c0_g2_i1" 0.930129 0 0
"TRINITY_DN5611_c0_g2_i2" 7.5429 11.1044 0
"TRINITY_DN5611_c0_g2_i3" 0 0.793793 0.690593
"TRINITY_DN5623_c0_g1_i1" 0 0 0
"TRINITY_DN5689_c0_g1_i1" 0.953775 5.29085 0
"TRINITY_DN5629_c0_g1_i1" 0.610919 0 0
