"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q5RC84","HEXA_PONAB","Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)","HEXA","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",529
"Q5TZ24","MOXD1_DANRE","DBH-like monooxygenase protein 1 homolog (EC 1.14.17.-)","moxd1 si:ch211-193l17.1 si:dkey-266k12.5 si:dkeyp-119b4.5","Danio rerio (Zebrafish) (Brachydanio rerio)",614
"A1L0T0","HACL2_HUMAN","2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)","ILVBL AHAS HACL2","Homo sapiens (Human)",632
"Q5E9T4","TPK1_BOVIN","Thiamin pyrophosphokinase 1 (EC 2.7.6.2) (Thiamine pyrophosphokinase 1)","TPK1","Bos taurus (Bovine)",243
"P81021","VIGLN_CHICK","Vigilin","HDLBP VGL","Gallus gallus (Chicken)",1270
"Q9ZVH4","CUL3A_ARATH","Cullin-3A (AtCUL3a)","CUL3A CUL3 At1g26830 T2P11.2","Arabidopsis thaliana (Mouse-ear cress)",732
"Q9VF87","CYFIP_DROME","Cytoplasmic FMR1-interacting protein (Specifically Rac1-associated protein 1) (DSra-1)","Sra-1 Cyfip CG4931","Drosophila melanogaster (Fruit fly)",1291
"Q01070","ESMC_DROME","Enhancer of split mgamma protein (E(spl)mgamma) (Split locus enhancer protein mB)","E(spl)mgamma-HLH HLHmgamma CG8333","Drosophila melanogaster (Fruit fly)",205
"P83103","HASP_DROME","Serine/threonine-protein kinase haspin homolog (EC 2.7.11.1)","Haspin CG40080","Drosophila melanogaster (Fruit fly)",566
"P11214","TPA_MOUSE","Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]","Plat","Mus musculus (Mouse)",559
"Q05187","TGMH_TACTR","Hemocyte protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Hemocyte transglutaminase) (TGase)","","Tachypleus tridentatus (Japanese horseshoe crab)",764
"Q9VRJ2","FITM_DROME","Fat storage-inducing transmembrane protein","Fitm CG10671","Drosophila melanogaster (Fruit fly)",423
"O95405","ZFYV9_HUMAN","Zinc finger FYVE domain-containing protein 9 (Mothers against decapentaplegic homolog-interacting protein) (Madh-interacting protein) (Novel serine protease) (NSP) (Receptor activation anchor) (hSARA) (Smad anchor for receptor activation)","ZFYVE9 MADHIP SARA SMADIP","Homo sapiens (Human)",1425
"B7YZV4","PDE1_DROME","Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1 (PDE1) (EC 3.1.4.17)","Pde1c CG44007","Drosophila melanogaster (Fruit fly)",834
"Q6ZMT4","KDM7A_HUMAN","Lysine-specific demethylase 7A (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 1D) (Lysine-specific demethylase 7)","KDM7A JHDM1D KDM7 KIAA1718","Homo sapiens (Human)",941
"P70303","PYRG2_MOUSE","CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (CTPsH) (UTP--ammonia ligase 2)","Ctps2","Mus musculus (Mouse)",586
"Q9HV66","ACSA2_PSEAE","Acetyl-coenzyme A synthetase 2 (AcCoA synthetase 2) (Acs 2) (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acyl-activating enzyme 2)","acsA2 acsB PA4733","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)",645
"Q9Y263","PLAP_HUMAN","Phospholipase A-2-activating protein (PLA2P) (PLAP)","PLAA PLAP","Homo sapiens (Human)",795
"Q99323","MYSN_DROME","Myosin heavy chain, non-muscle (Myosin II) (Non-muscle MHC) (Zipper protein)","zip CG15792","Drosophila melanogaster (Fruit fly)",2057
"O75688","PPM1B_HUMAN","Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta)","PPM1B PP2CB","Homo sapiens (Human)",479
"P23506","PIMT_MOUSE","Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase)","Pcmt1","Mus musculus (Mouse)",227
"Q7Z7M9","GALT5_HUMAN","Polypeptide N-acetylgalactosaminyltransferase 5 (EC 2.4.1.41) (Polypeptide GalNAc transferase 5) (GalNAc-T5) (pp-GaNTase 5) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5)","GALNT5","Homo sapiens (Human)",940
"Q9SFU0","SC24A_ARATH","Protein transport protein Sec24-like At3g07100","At3g07100 T1B9.25","Arabidopsis thaliana (Mouse-ear cress)",1038
"P35072","TCB1_CAEBR","Transposable element Tcb1 transposase (Transposable element Barney transposase)","","Caenorhabditis briggsae",273
"Q16FT5","COQ4_AEDAE","Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial (Coenzyme Q biosynthesis protein 4 homolog)","AAEL014646","Aedes aegypti (Yellowfever mosquito) (Culex aegypti)",274
"Q8CGY8","OGT1_MOUSE","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)","Ogt","Mus musculus (Mouse)",1046
"Q8NBM4","UBAC2_HUMAN","Ubiquitin-associated domain-containing protein 2 (UBA domain-containing protein 2) (Phosphoglycerate dehydrogenase-like protein 1)","UBAC2 PHGDHL1 PSEC0110","Homo sapiens (Human)",344
"Q05118","PO23_POPJA","Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Retrovirus-related Pol polyprotein from type I retrotransposable element R2) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease] (Fragment)","","Popillia japonica (Japanese beetle)",606
"P08548","LIN1_NYCCO","LINE-1 reverse transcriptase homolog (EC 2.7.7.49)","","Nycticebus coucang (Slow loris)",1260
"P35579","MYH9_HUMAN","Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)","MYH9","Homo sapiens (Human)",1960
"O17214","FUMH_CAEEL","Probable fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)","fum-1 H14A12.2","Caenorhabditis elegans",501
"Q9LSP7","UBC32_ARATH","Ubiquitin-conjugating enzyme E2 32 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 32) (Ubiquitin carrier protein 32)","UBC32 At3g17000 K14A17.7","Arabidopsis thaliana (Mouse-ear cress)",309
"Q6PD24","AN13D_MOUSE","Ankyrin repeat domain-containing protein 13D","Ankrd13d","Mus musculus (Mouse)",605
"Q1W377","PMM_SOLLC","Phosphomannomutase (LePMM) (EC 5.4.2.8)","PMM","Solanum lycopersicum (Tomato) (Lycopersicon esculentum)",252
"Q56H28","ACE2_FELCA","Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (EC 3.4.17.-) [Cleaved into: Processed angiotensin-converting enzyme 2]","ACE2","Felis catus (Cat) (Felis silvestris catus)",805
"O54827","AT10A_MOUSE","Probable phospholipid-transporting ATPase VA (EC 7.6.2.1) (ATPase class V type 10A) (P-locus fat-associated ATPase) (P4-ATPase flippase complex alpha subunit ATP10A)","Atp10a Atpc5 Pfatp","Mus musculus (Mouse)",1508
"Q9NVD7","PARVA_HUMAN","Alpha-parvin (Actopaxin) (CH-ILKBP) (Calponin-like integrin-linked kinase-binding protein) (Matrix-remodeling-associated protein 2)","PARVA MXRA2","Homo sapiens (Human)",372
"Q75UQ2","CFDP1_RAT","Craniofacial development protein 1 (Bucentaur)","Cfdp1 Bcnt","Rattus norvegicus (Rat)",295
"Q64285","CEL_MOUSE","Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.1.1.6) (Bile salt-stimulated lipase) (BSSL) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase)","Cel Lip1","Mus musculus (Mouse)",599
"P51522","ZNF83_HUMAN","Zinc finger protein 83 (Zinc finger protein 816B) (Zinc finger protein HPF1)","ZNF83 ZNF816B","Homo sapiens (Human)",516
"A5PMU4","ANS1B_DANRE","Ankyrin repeat and sterile alpha motif domain-containing protein 1B","anks1b si:ch211-211o1.2 si:dkey-11k24.3","Danio rerio (Zebrafish) (Brachydanio rerio)",1280
"Q9VJS8","ELBOW_DROME","Zinc finger protein Elbow","elB CG4220","Drosophila melanogaster (Fruit fly)",553
"Q9NZM5","NOP53_HUMAN","Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (Protein interacting with carboxyl terminus 1) (PICT-1) (p60)","NOP53 GLT GLTSCR2 PICT1","Homo sapiens (Human)",478
"P21329","RTJK_DROFU","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)","jockey\pol pol","Drosophila funebris (Fruit fly)",916
"P26686","SRR55_DROME","Serine-arginine protein 55 (SRP55) (52 kDa bracketing protein) (B52 protein) (Protein enhancer of deformed)","B52 E(Dfd) RS55 SR55 CG10851","Drosophila melanogaster (Fruit fly)",376
"Q4LDE5","SVEP1_HUMAN","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)","SVEP1 C9orf13 CCP22 SELOB","Homo sapiens (Human)",3571
"Q7YU24","MARF_DROME","Transmembrane GTPase Marf (EC 3.6.5.-) (Mitochondrial assembly regulatory factor) (Mitofusin)","Marf dmfn CG3869","Drosophila melanogaster (Fruit fly)",810
"Q5RAM2","ERR3_PONAB","Estrogen-related receptor gamma (Estrogen receptor-related protein 3) (Nuclear receptor subfamily 3 group B member 3)","ESRRG ERR3 NR3B3","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",435
"Q52KI8","SRRM1_MOUSE","Serine/arginine repetitive matrix protein 1 (Plenty-of-prolines 101)","Srrm1 Pop101","Mus musculus (Mouse)",946
"Q9NWY4","HPF1_HUMAN","Histone PARylation factor 1","HPF1 C4orf27","Homo sapiens (Human)",346
"Q9Y115","UN93L_DROME","UNC93-like protein","CG4928","Drosophila melanogaster (Fruit fly)",538
"C0KJQ4","ALPS_PORTR","Anti-lipopolysaccharide factor (PtALF)","ALF","Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus)",123
"Q94571","TBB2_HOMAM","Tubulin beta-2 chain (Beta-II tubulin)","","Homarus americanus (American lobster)",452
"D3ZFD0","MY18A_RAT","Unconventional myosin-XVIIIa","Myo18a","Rattus norvegicus (Rat)",2044
"Q24322","SEM1A_DROME","Semaphorin-1A (Semaphorin-I) (Sema I)","Sema1a Dsema-I Sema-1a CG18405","Drosophila melanogaster (Fruit fly)",899
"Q9Y490","TLN1_HUMAN","Talin-1","TLN1 KIAA1027 TLN","Homo sapiens (Human)",2541
"Q5R9J1","NIP7_PONAB","60S ribosome subunit biogenesis protein NIP7 homolog","NIP7","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",180
"Q2LD37","K1109_HUMAN","Transmembrane protein KIAA1109 (Fragile site-associated protein)","KIAA1109 FSA KIAA1371","Homo sapiens (Human)",5005
"Q99315","YG31B_YEAST","Transposon Ty3-G Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-1 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p61 (IN); Integrase p58 (IN)]","TY3B-G YGRWTy3-1 POL YGR109W-B G5984","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",1547
"Q0V8R6","HEXA_BOVIN","Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)","HEXA","Bos taurus (Bovine)",529
"P27619","DYN_DROME","Dynamin (EC 3.6.5.5) (Protein shibire) (dDyn)","shi CG18102","Drosophila melanogaster (Fruit fly)",877
"P36871","PGM1_HUMAN","Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)","PGM1","Homo sapiens (Human)",562
"Q91V92","ACLY_MOUSE","ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)","Acly","Mus musculus (Mouse)",1091
"Q9Y2C3","B3GT5_HUMAN","Beta-1,3-galactosyltransferase 5 (Beta-1,3-GalTase 5) (Beta3Gal-T5) (Beta3GalT5) (b3Gal-T5) (EC 2.4.1.-) (Beta-3-Gx-T5) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 5)","B3GALT5","Homo sapiens (Human)",310
"Q5F495","PHOCN_CHICK","MOB-like protein phocein (Mob1 homolog 3) (Mob3) (Mps one binder kinase activator-like 3) (Preimplantation protein 3)","MOB4 MOB3 MOBKL3 PHOCN PREI3 RCJMB04_1o21","Gallus gallus (Chicken)",223
"Q75IM9","IVD_ORYSJ","Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4)","Os05g0125500 OsJ_16966 OSJNBb0079L11.8 P0683F12.2","Oryza sativa subsp. japonica (Rice)",409
"Q8WYA6","CTBL1_HUMAN","Beta-catenin-like protein 1 (Nuclear-associated protein) (NAP) (Testis development protein NYD-SP19)","CTNNBL1 C20orf33 PP8304","Homo sapiens (Human)",563
"Q9BSC4","NOL10_HUMAN","Nucleolar protein 10","NOL10","Homo sapiens (Human)",688
"P08236","BGLR_HUMAN","Beta-glucuronidase (EC 3.2.1.31) (Beta-G1)","GUSB","Homo sapiens (Human)",651
"O15090","ZN536_HUMAN","Zinc finger protein 536","ZNF536 KIAA0390","Homo sapiens (Human)",1300
"Q96MW7","TIGD1_HUMAN","Tigger transposable element-derived protein 1","TIGD1","Homo sapiens (Human)",591
"Q3KR37","ASTRB_HUMAN","Protein Aster-B (GRAM domain-containing protein 1B)","GRAMD1B KIAA1201 UNQ3032/PRO9834","Homo sapiens (Human)",738
"Q93LL2","ACSA_NOSLI","Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme) (Fragment)","acsA","Nostoc linckia",337
"Q3LXA3","TKFC_HUMAN","Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]","TKFC DAK","Homo sapiens (Human)",575
"B5ME19","EIFCL_HUMAN","Eukaryotic translation initiation factor 3 subunit C-like protein","EIF3CL","Homo sapiens (Human)",914
"A6NNF4","ZN726_HUMAN","Zinc finger protein 726","ZNF726","Homo sapiens (Human)",738
"O00370","LORF2_HUMAN","LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]","","Homo sapiens (Human)",1275
"P37276","DYHC_DROME","Dynein heavy chain, cytoplasmic (Dynein heavy chain, cytosolic) (DYHC)","Dhc64C cDhc CG7507","Drosophila melanogaster (Fruit fly)",4639
"Q0IHA5","MPPE1_XENLA","Metallophosphoesterase 1 (EC 3.1.-.-) (Post-GPI attachment to proteins factor 5)","mppe1 pgap5","Xenopus laevis (African clawed frog)",405
"A9ZSY3","TRET1_BOMMO","Facilitated trehalose transporter Tret1 (BmTRET1)","Tret1","Bombyx mori (Silk moth)",505
"O15943","CADN_DROME","Neural-cadherin (Cadherin-N) (dN-cadherin)","CadN CG7100","Drosophila melanogaster (Fruit fly)",3097
"Q27081","CFB_TACTR","Clotting factor B (EC 3.4.21.85) (Coagulation factor B) [Cleaved into: Clotting factor B light chain; Clotting factor B heavy chain]","","Tachypleus tridentatus (Japanese horseshoe crab)",400
"Q9CQ69","QCR8_MOUSE","Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)","Uqcrq","Mus musculus (Mouse)",82
"Q8QZY1","EIF3L_MOUSE","Eukaryotic translation initiation factor 3 subunit L (eIF3l) (66 kDa tyrosine-rich heat shock protein) (67 kDa polymerase-associated factor) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein) (HSP-66Y) (PAF67)","Eif3l Eif3eip Eif3s6ip Paf67","Mus musculus (Mouse)",564
"E1C231","LTN1_CHICK","E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING finger protein 160) (Zfp-294) (RING-type E3 ubiquitin transferase listerin)","LTN1 RNF160","Gallus gallus (Chicken)",1766
"O88553","ZFP37_RAT","Zinc finger protein 37 (Zfp-37)","Zfp37","Rattus norvegicus (Rat)",601
"Q8IYN0","ZN100_HUMAN","Zinc finger protein 100","ZNF100","Homo sapiens (Human)",542
"Q64430","ATP7A_MOUSE","Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein homolog)","Atp7a Mnk","Mus musculus (Mouse)",1491
"P54399","PDI_DROME","Protein disulfide-isomerase (PDI) (dPDI) (EC 5.3.4.1)","Pdi CG6988","Drosophila melanogaster (Fruit fly)",496
"Q14558","KPRA_HUMAN","Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39)","PRPSAP1","Homo sapiens (Human)",356
"P48603","CAPZB_DROME","F-actin-capping protein subunit beta","cpb ANCP-BETA CG17158","Drosophila melanogaster (Fruit fly)",276
"Q9W092","CHIT2_DROME","Probable chitinase 2 (EC 3.2.1.14)","Cht2 CG2054","Drosophila melanogaster (Fruit fly)",484
"Q0VCX2","BIP_BOVIN","Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)","HSPA5 GRP78","Bos taurus (Bovine)",655
"P34925","RYK_HUMAN","Tyrosine-protein kinase RYK (EC 2.7.10.1)","RYK JTK5A","Homo sapiens (Human)",607
"Q96PB1","CASD1_HUMAN","N-acetylneuraminate 9-O-acetyltransferase (EC 2.3.1.45) (CAS1 domain-containing protein 1) (Sialate O-acetyltransferase) (SOAT)","CASD1 C7orf12 Nbla04196","Homo sapiens (Human)",797
"Q25515","KRUP_MANSE","Protein krueppel (Fragment)","Kr","Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)",76
"Q9D1E8","PLCE_MOUSE","1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 5) (1-AGP acyltransferase 5) (1-AGPAT 5) (Lysophosphatidic acid acyltransferase epsilon) (LPAAT-epsilon)","Agpat5 D8Ertd319e","Mus musculus (Mouse)",365
"P05661","MYSA_DROME","Myosin heavy chain, muscle","Mhc CG17927","Drosophila melanogaster (Fruit fly)",1962
"Q9NVE7","PANK4_HUMAN","4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4) (hPanK4)","PANK4","Homo sapiens (Human)",773
"B0BNA9","CNO11_RAT","CCR4-NOT transcription complex subunit 11","Cnot11","Rattus norvegicus (Rat)",504
"Q5VQQ5","CDPK2_ORYSJ","Calcium-dependent protein kinase 2 (OsCDPK2) (OsCPK2) (EC 2.7.11.1)","CPK2 Os01g0808400 LOC_Os01g59360 P0468B07.1 P0702B09.46","Oryza sativa subsp. japonica (Rice)",515
"Q9H611","PIF1_HUMAN","ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (PIF1/RRM3 DNA helicase-like protein)","PIF1 C15orf20","Homo sapiens (Human)",641
"P86854","PLCL_MYTGA","Perlucin-like protein","","Mytilus galloprovincialis (Mediterranean mussel)",156
"Q96DX4","RSPRY_HUMAN","RING finger and SPRY domain-containing protein 1","RSPRY1 KIAA1972 UNQ328/PRO444","Homo sapiens (Human)",576
"Q5RAG8","P4HA1_PONAB","Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)","P4HA1","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",534
"Q6P823","H33_XENTR","Histone H3.3","TGas113e22.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",136
"A2V735","TPM_CHIOP","Tropomyosin (Tropomyosin, slow-tonic isoform) (Tm-Chio-tonic)","TM1","Chionoecetes opilio (Crab-beetle)",284
"Q5ZK35","MET14_CHICK","N6-adenosine-methyltransferase non-catalytic subunit (Methyltransferase-like protein 14)","METTL14 RCJMB04_13h15","Gallus gallus (Chicken)",459
