"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q24K21","DPCD_BOVIN","Protein DPCD","DPCD","Bos taurus (Bovine)",203
"Q0JJS8","HF101_ORYSJ","Fe-S cluster assembly factor HCF101, chloroplastic (Protein HIGH CHLOROPHYLL FLUORESCENCE 101 homolog)","HCF101 Os01g0719700 LOC_Os01g52170 OsJ_03276 P0480C01.27","Oryza sativa subsp. japonica (Rice)",531
"O44001","HSP90_EIMTE","Heat shock protein 90","HSP90","Eimeria tenella (Coccidian parasite)",713
"Q9KEF5","Y897_BACHD","Uncharacterized RNA methyltransferase BH0897 (EC 2.1.1.-)","BH0897","Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)",463
"Q9SA23","SYP51_ARATH","Syntaxin-51 (AtSYP51)","SYP51 At1g16240 F3O9.4","Arabidopsis thaliana (Mouse-ear cress)",232
"O24308","TOP2_PEA","DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II) (PsTopII)","TOP2 TOPII","Pisum sativum (Garden pea)",1462
"Q9SLA2","VATO2_ARATH","V-type proton ATPase subunit c''2 (V-ATPase subunit c''2) (Vacuolar H(+)-ATPase subunit c'' isoform 2) (Vacuolar proton pump subunit c''2)","VHA-c''2 VMA16 At2g25610 F3N11.6","Arabidopsis thaliana (Mouse-ear cress)",178
"Q0KL01","UBX2B_MOUSE","UBX domain-containing protein 2B (NSFL1 cofactor p37) (p97 cofactor p37)","Ubxn2b","Mus musculus (Mouse)",331
"O34389","MAO3_BACSU","Probable NAD-dependent malic enzyme 3 (NAD-ME 3) (EC 1.1.1.38)","malS BSU29880","Bacillus subtilis (strain 168)",566
"P29763","RLA1_CHLRE","60S acidic ribosomal protein P1","","Chlamydomonas reinhardtii (Chlamydomonas smithii)",107
"Q04656","ATP7A_HUMAN","Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein)","ATP7A MC1 MNK","Homo sapiens (Human)",1500
"Q9LNC5","CLO_ARATH","110 kDa U5 small nuclear ribonucleoprotein component CLO (Protein CLOTHO) (Protein GAMETOPHYTE FACTOR 1) (Protein MATERNAL EFFECT EMBRYO ARREST 5) (Protein VAJRA-1) (SNU114 homolog)","CLO GFA1 MEE5 VAJ-1 At1g06220 F9P14.8","Arabidopsis thaliana (Mouse-ear cress)",987
"Q5XF24","CKL13_ARATH","Casein kinase 1-like protein 13 (EC 2.7.11.1) (Protein CASEIN KINASE I-LIKE 13)","CKL13 At1g04440 F19P19.10","Arabidopsis thaliana (Mouse-ear cress)",468
"Q54XK2","SC61A_DICDI","Protein transport protein Sec61 subunit alpha (Secretory 61 complex subunit alpha)","sec61a DDB_G0278885","Dictyostelium discoideum (Slime mold)",475
"Q68F18","MFN2B_XENLA","Mitoferrin-2B (Mitochondrial iron transporter 2-B) (Solute carrier family 25 member 28-B)","slc25a28-b mfrn2-b","Xenopus laevis (African clawed frog)",186
"Q9C6B9","PEAM3_ARATH","Phosphoethanolamine N-methyltransferase 3 (EC 2.1.1.103)","NMT3 At1g73600 F25P22.1 F6D5.1","Arabidopsis thaliana (Mouse-ear cress)",490
"C9WPN6","IF2H_RAT","Eukaryotic translation initiation factor 2 subunit 3, Y-linked (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma, Y-linked) (eIF-2-gamma Y)","Eif2s3y","Rattus norvegicus (Rat)",472
"P53041","PPP5_HUMAN","Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)","PPP5C PPP5","Homo sapiens (Human)",499
"O08759","UBE3A_MOUSE","Ubiquitin-protein ligase E3A (EC 2.3.2.26) (HECT-type ubiquitin transferase E3A) (Oncogenic protein-associated protein E6-AP)","Ube3a","Mus musculus (Mouse)",870
"P21440","MDR3_MOUSE","Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 2) (Multidrug resistance protein 3) (P-glycoprotein 2) (P-glycoprotein 3)","Abcb4 Mdr2 Pgy-2 Pgy2","Mus musculus (Mouse)",1276
"P46952","3HAO_HUMAN","3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (h3HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)","HAAO","Homo sapiens (Human)",286
"Q5QMN3","RH20_ORYSJ","DEAD-box ATP-dependent RNA helicase 20 (EC 3.6.4.13)","Os01g0197200 LOC_Os01g10050 P0419B01.12","Oryza sativa subsp. japonica (Rice)",494
"Q7S4P3","SEC24_NEUCR","Protein transport protein sec24","sec24 NCU02391","Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)",950
"Q8CGY6","UN45B_MOUSE","Protein unc-45 homolog B (Unc-45B)","Unc45b Cmya4","Mus musculus (Mouse)",931
"P35447","SPON1_XENLA","Spondin-1 (F-spondin)","spon1","Xenopus laevis (African clawed frog)",803
"A8WGF4","IF122_XENTR","Intraflagellar transport protein 122 homolog","ift122","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",1189
"Q8LGF7","PEX4_ARATH","Protein PEROXIN-4 (AtPEX4) (E2 ubiquitin-conjugating enzyme 21) (Probable ubiquitin-conjugating enzyme E2 21) (EC 2.3.2.23) (Ubiquitin carrier protein 21)","PEX4 UBC21 At5g25760 F18A17.10","Arabidopsis thaliana (Mouse-ear cress)",157
"P44326","RIBD_HAEIN","Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]","ribD ribG HI_0944","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)",372
"Q9XGL4","RL31_CYAPA","60S ribosomal protein L31","RPL31","Cyanophora paradoxa",119
"Q2GZQ4","ESF2_CHAGB","Pre-rRNA-processing protein ESF2 (18S rRNA factor 2)","ESF2 CHGG_04992","Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus)",332
"Q47D81","GCSP_DECAR","Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))","gcvP Daro_2465","Dechloromonas aromatica (strain RCB)",963
"P46793","RS15A_DICDI","40S ribosomal protein S15a (Ribosomal protein S24)","rps15a rps24 DDB_G0276457","Dictyostelium discoideum (Slime mold)",130
"Q8RUS5","ATG9_ARATH","Autophagy-related protein 9 (AtAPG9)","ATG9 APG9 At2g31260","Arabidopsis thaliana (Mouse-ear cress)",866
"O35254","GORS1_RAT","Golgi reassembly-stacking protein 1 (Golgi peripheral membrane protein p65) (Golgi reassembly-stacking protein of 65 kDa) (GRASP65)","Gorasp1 Grasp65","Rattus norvegicus (Rat)",451
"O66829","Y554_AQUAE","Uncharacterized RNA pseudouridine synthase aq_554 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)","aq_554","Aquifex aeolicus (strain VF5)",238
"Q9SIP7","RS31_ARATH","40S ribosomal protein S3-1","RPS3A At2g31610 T9H9.13","Arabidopsis thaliana (Mouse-ear cress)",250
"Q553S2","AP3S_DICDI","AP-3 complex subunit sigma (AP-3 complex subunit sigma-3) (Adaptor-related protein complex 3 subunit sigma) (Sigma-adaptin 3) (Sigma3-adaptin)","ap3s1 DDB_G0275405","Dictyostelium discoideum (Slime mold)",171
"P42795","RL111_ARATH","60S ribosomal protein L11-1 (L16A)","RPL11A RPL16A At2g42740 F7D19.26","Arabidopsis thaliana (Mouse-ear cress)",182
"P28178","PK2_DICDI","Protein kinase 2 (PK2) (EC 2.7.11.1)","pkgB pfkA pkbr1 DDB_G0290157","Dictyostelium discoideum (Slime mold)",479
"Q9NYC9","DYH9_HUMAN","Dynein heavy chain 9, axonemal (Axonemal beta dynein heavy chain 9) (Ciliary dynein heavy chain 9)","DNAH9 DNAH17L DNEL1 KIAA0357","Homo sapiens (Human)",4486
"Q6AXQ7","IQCAL_RAT","IQ and AAA domain-containing protein 1-like (Protein IQCA1P1)","Iqca1l Iqca1p1","Rattus norvegicus (Rat)",822
"P59708","SF3B6_MOUSE","Splicing factor 3B subunit 6 (Pre-mRNA branch site protein p14) (SF3b 14 kDa subunit)","Sf3b6 Sf3b14","Mus musculus (Mouse)",125
"P87239","MDJ1_SCHPO","DnaJ homolog 1, mitochondrial","mdj1 SPCC4G3.14","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",528
"Q54ED4","GRWD1_DICDI","Glutamate-rich WD repeat-containing protein 1","grwd1 DDB_G0291566","Dictyostelium discoideum (Slime mold)",482
"A8Y197","PFD6_CAEBR","Probable prefoldin subunit 6","pfd-6 CBG21902","Caenorhabditis briggsae",128
"Q8H4S6","P2C64_ORYSJ","Probable protein phosphatase 2C 64 (OsPP2C64) (EC 3.1.3.16)","Os07g0566200 LOC_Os07g37890 OJ1773_H01.121 OsJ_023811","Oryza sativa subsp. japonica (Rice)",427
"P31320","KAPR_BLAEM","cAMP-dependent protein kinase regulatory subunit (PKA regulatory subunit)","PKAR","Blastocladiella emersonii (Aquatic fungus)",403
"Q6EQX3","OML5_ORYSJ","Protein MEI2-like 5 (OML5) (MEI2-like protein 5)","ML5 Os02g0319100 LOC_Os02g21430 OSJNBa0086N11.15","Oryza sativa subsp. japonica (Rice)",811
"Q9VL06","UFD4_DROME","E3 ubiquitin-protein ligase Ufd4 (EC 2.3.2.26) (Ubiquitin fusion-degradation 4-like)","Ufd4 CG5604","Drosophila melanogaster (Fruit fly)",2727
"O43818","U3IP2_HUMAN","U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K)","RRP9 RNU3IP2 U355K","Homo sapiens (Human)",475
"Q6INF3","RM41B_XENLA","39S ribosomal protein L41-B, mitochondrial (L41mt-B) (MRP-L41-B)","mrpl41-b","Xenopus laevis (African clawed frog)",135
"P93028","UBE11_ARATH","Ubiquitin-activating enzyme E1 1 (AtUBA1) (EC 6.2.1.45) (Protein MODIFIER OF SNC1 5)","UBA1 MOS5 At2g30110 T27E13.15","Arabidopsis thaliana (Mouse-ear cress)",1080
"P22694","KAPCB_HUMAN","cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)","PRKACB","Homo sapiens (Human)",351
"P0DKK0","PRS7B_ORYSJ","26S proteasome regulatory subunit 7B (26S proteasome AAA-ATPase subunit RPT1B) (26S proteasome subunit 7B) (Regulatory particle triple-A ATPase subunit 1B)","RPT1B Os06g0192600 LOC_Os06g09290 OsJ_20424 OSJNBa0090D06.53 P0698A06.13","Oryza sativa subsp. japonica (Rice)",426
"Q9SYB0","TAUE2_ARATH","Sulfite exporter TauE/SafE family protein 2","At1g61740 T13M11.10","Arabidopsis thaliana (Mouse-ear cress)",458
"Q8LPJ4","AB2E_ARATH","ABC transporter E family member 2 (ABC transporter ABCE.2) (AtABCE2) (RNase L inhibitor-like protein 2) (AtRLI2) (AthaRLI2)","ABCE2 RLI2 At4g19210 T18B16.180","Arabidopsis thaliana (Mouse-ear cress)",605
"P49692","RL7A1_ARATH","60S ribosomal protein L7a-1","RPL7AA At2g47610 T30B22.8","Arabidopsis thaliana (Mouse-ear cress)",257
"Q90Z08","U119B_DANRE","Protein unc-119 homolog B (Protein unc-119 homolog 1)","unc119b unc119 unc119.1 unc119c si:dkey-117k10","Danio rerio (Zebrafish) (Brachydanio rerio)",243
"Q96UF2","G3P2_MUCCL","Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12)","GPD2","Mucor circinelloides f. lusitanicus (Mucor racemosus var. lusitanicus)",338
"P11139","TBA1_ARATH","Tubulin alpha-1 chain","TUBA1 TUA1 At1g64740 F13O11.5","Arabidopsis thaliana (Mouse-ear cress)",450
"Q8BYR1","TYW4_MOUSE","tRNA wybutosine-synthesizing protein 4 (tRNA yW-synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (Leucine carboxyl methyltransferase 2) (p21WAF1/CIP1 promoter-interacting protein) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)","Lcmt2 Kiaa0547 Tyw4","Mus musculus (Mouse)",686
"P39057","DYHC_HELCR","Dynein beta chain, ciliary","","Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina)",4466
"P41001","TOP2_PLAFK","DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II)","TOP2","Plasmodium falciparum (isolate K1 / Thailand)",1398
"Q8YVU6","HEM3_NOSS1","Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)","hemC alr1878","Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)",323
"O43520","AT8B1_HUMAN","Phospholipid-transporting ATPase IC (EC 7.6.2.1) (ATPase class I type 8B member 1) (Familial intrahepatic cholestasis type 1) (P4-ATPase flippase complex alpha subunit ATP8B1)","ATP8B1 ATPIC FIC1 PFIC","Homo sapiens (Human)",1251
"Q5ATG5","APDG_EMENI","Acyl-CoA dehydrogenase apdG (EC 1.-.-.-) (Aspyridones biosynthesis protein G)","apdG AN8415","Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)",438
"Q9US41","URG1_SCHPO","Uracil-regulated protein 1 (EC 3.5.4.-)","urg1 SPAC1002.19","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",439
"Q9SRH6","HIR3_ARATH","Hypersensitive-induced response protein 3 (AtHIR3)","HIR3 P31 At3g01290 T22N4.8 T4P13.3","Arabidopsis thaliana (Mouse-ear cress)",285
"Q40255","ALDH_LINUS","Probable aldehyde dehydrogenase (EC 1.2.1.3) (Flax-inducible sequence 1)","FIS1","Linum usitatissimum (Flax) (Linum humile)",551
"F4JS25","SRFR1_ARATH","Suppressor of RPS4-RLD 1 (Protein SUPPRESSOR OF npr1-1, CONSTITUTIVE 5) (AtSNC5)","SRFR1 SNC5 At4g37460 F6G17.110","Arabidopsis thaliana (Mouse-ear cress)",1052
"Q6DGL8","RT15_DANRE","28S ribosomal protein S15, mitochondrial (MRP-S15) (S15mt)","mrps15 zgc:92862","Danio rerio (Zebrafish) (Brachydanio rerio)",263
"Q8LPJ3","MANA2_ARATH","Probable alpha-mannosidase At5g13980 (EC 3.2.1.24)","At5g13980 MAC12.5","Arabidopsis thaliana (Mouse-ear cress)",1024
"Q6PS57","CKS1_ORYSJ","Cyclin-dependent kinases regulatory subunit 1","CKS1 Os03g0146300 LOC_Os03g05300 OsJ_009058 OSJNBa0067N01.15","Oryza sativa subsp. japonica (Rice)",90
"Q11KL2","ACCD_CHESB","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)","accD Meso_0663","Chelativorans sp. (strain BNC1)",307
"Q9V410","LZTR1_DROME","Leucine-zipper-like transcriptional regulator 1 homolog","Lztr1 CG3711","Drosophila melanogaster (Fruit fly)",975
"Q54JC8","PUR4_DICDI","Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)","purL DDB_G0288145","Dictyostelium discoideum (Slime mold)",1355
"P35182","PP2C1_YEAST","Protein phosphatase 2C homolog 1 (PP2C-1) (EC 3.1.3.16)","PTC1 TPD1 YDL006W D2925","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",281
"Q9UM54","MYO6_HUMAN","Unconventional myosin-VI (Unconventional myosin-6)","MYO6 KIAA0389","Homo sapiens (Human)",1294
"Q03685","BIP5_TOBAC","Luminal-binding protein 5 (BiP 5) (78 kDa glucose-regulated protein homolog 5) (GRP-78-5)","BIP5","Nicotiana tabacum (Common tobacco)",668
"Q39493","DSK1_CYLFU","Diatom spindle kinesin-1","DSK1","Cylindrotheca fusiformis (Marine diatom)",624
"P46976","GLYG_HUMAN","Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186)","GYG1 GYG","Homo sapiens (Human)",350
"Q8IBG1","DYHC1_PLAF7","Dynein heavy chain-like protein MAL7P1.162","MAL7P1.162","Plasmodium falciparum (isolate 3D7)",4985
"Q5ZKR7","ACBG2_CHICK","Long-chain-fatty-acid--CoA ligase ACSBG2 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 2) (Arachidonate--CoA ligase ACSBG2) (EC 6.2.1.15)","ACSBG2 RCJMB04_9i11","Gallus gallus (Chicken)",763
"Q9C0G6","DYH6_HUMAN","Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)","DNAH6 DNAHC6 DNHL1 HL2 KIAA1697","Homo sapiens (Human)",4158
"P50336","PPOX_HUMAN","Protoporphyrinogen oxidase (PPO) (EC 1.3.3.4)","PPOX","Homo sapiens (Human)",477
"Q8K245","UVRAG_MOUSE","UV radiation resistance-associated protein","Uvrag Uvrag1","Mus musculus (Mouse)",698
"Q8L796","PI5K2_ARATH","Phosphatidylinositol 4-phosphate 5-kinase 2 (AtPIP5K2) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 2) (Diphosphoinositide kinase 2) (PtdIns(4)P-5-kinase 2)","PIP5K2 At1g77740 T32E8.7","Arabidopsis thaliana (Mouse-ear cress)",754
"Q1LZ96","ATPF2_BOVIN","ATP synthase mitochondrial F1 complex assembly factor 2","ATPAF2","Bos taurus (Bovine)",289
"P40590","RL34_PEA","60S ribosomal protein L34","RPL34","Pisum sativum (Garden pea)",120
"Q56X76","RH39_ARATH","DEAD-box ATP-dependent RNA helicase 39 (EC 3.6.4.13)","RH39 At4g09730 F17A8.80","Arabidopsis thaliana (Mouse-ear cress)",621
"Q05763","DRTS2_ARATH","Bifunctional dihydrofolate reductase-thymidylate synthase 2 (DHFR-TS 2) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)]","THY-2 At4g34570 T4L20.150","Arabidopsis thaliana (Mouse-ear cress)",565
